date,operator,draw_no,1st,2nd,3rd,special,consolation
1985-07-04,Magnum 4D,031/85,1993,9672,5892,"0287,1637,1902,4088,4191,5456,7595,7680,8399,9398","1514,1767,2751,3497,3542,5246,6147,7331,9548,9906"
1985-07-06,Magnum 4D,032/85,8276,6589,8640,"0398,1717,2108,2193,2441,2923,3987,5163,5402,7057","0323,0544,0869,1145,1177,1988,3038,3371,4034,7915"
1985-07-07,Magnum 4D,033/85,5637,7077,5068,"0127,2579,2774,3104,3548,3954,6458,6637,8146,9815","0099,2195,3743,4265,4761,7122,7830,8640,8821,9330"
1985-07-11,Magnum 4D,034/85,8815,7532,9841,"0400,1485,2049,2689,4008,4807,6233,6963,7312,9235","0367,1638,2108,2288,2973,4197,4538,7794,7848,9323"
1985-07-13,Magnum 4D,035/85,4343,7530,2011,"0193,0325,0663,2989,3721,3902,5470,6068,7993,9950","1119,1731,5671,5944,6948,7570,7704,9184,9354,9467"
1985-07-14,Magnum 4D,036/85,4982,4466,4039,"0573,1335,3051,4942,5571,6487,7407,7776,8154,9795","0149,0883,5069,7860,8128,8935,9059,9903,9942,9998"
1985-07-18,Magnum 4D,037/85,0552,8200,7238,"0124,3519,4099,6740,7420,8352,8837,9386,9410,9948","1373,2323,3230,3236,5080,6141,7924,8422,8841,8994"
1985-07-20,Magnum 4D,038/85,2388,9964,4379,"0110,0210,1024,1951,3056,3504,4883,6540,9478,9925","0328,1699,2493,3117,3406,5030,6685,8197,8840,8918"
1985-07-21,Magnum 4D,039/85,4827,9767,6955,"5689,6528,6926,7133,7196,7900,8564,8636,9146,9395","0053,0443,0704,1017,1130,3485,3943,5422,8878,9031"
1985-07-25,Magnum 4D,040/85,5523,8331,0998,"1462,3006,3128,4754,5121,5383,7066,8282,9269,9566","2366,3187,5015,5598,6674,7125,8087,9067,9133,9267"
1985-07-27,Magnum 4D,041/85,7204,0508,4527,"0139,0649,0840,0977,1898,2408,2999,6108,6581,7646","0355,2059,2999,3578,5374,5497,6193,7518,7670,7820"
1985-07-28,Magnum 4D,042/85,4679,9359,3406,"0091,2828,3296,4689,4955,6021,6207,6433,8182,8485","0534,2129,2901,4196,4354,4380,7325,7786,7980,9905"
1985-08-01,Magnum 4D,043/85,5570,5827,1210,"0723,1162,1912,4045,4058,6613,6790,7587,8399,8801","0684,1968,2408,3744,3960,5473,6220,7206,8755,8770"
1985-08-03,Magnum 4D,044/85,3368,9615,0086,"0360,0509,1344,2205,2735,3153,5006,8352,8413,9137","0756,0807,1148,1174,1466,1749,2434,2550,5432,8874"
1985-08-04,Magnum 4D,045/85,4586,9680,4100,"0373,2175,3014,3290,5309,6145,7623,8292,9118,9631","0462,1715,1902,2990,3743,5747,6019,9049,9560,9583"
1985-08-08,Magnum 4D,046/85,0101,1030,9550,"0170,0170,0406,0959,4810,4855,5050,5358,5545,9930","1173,1202,3201,3289,4006,4136,6989,7527,7548,9592"
1985-08-10,Magnum 4D,047/85,1652,4330,6056,"1738,2098,3426,5800,6125,6473,7755,8087,8361,9390","1008,1733,3495,3689,4329,4506,5425,5480,5554,6739"
1985-08-11,Magnum 4D,048/85,7404,4159,8573,"0160,0580,1927,1945,3960,4000,5566,5585,9488,9606","0329,1264,2227,3927,5955,6723,6836,7339,9703,9716"
1985-08-15,Magnum 4D,049/85,0803,6122,8375,"0525,0544,0803,1921,2042,2524,5052,5454,7334,7893","0673,1096,1242,2473,5639,7412,8414,8592,8931,9097"
