date,operator,draw_no,1st,2nd,3rd,special,consolation
2000-03-25,Sports Toto 4D,1654/00,5180,5042,0578,"7359,4233,7848,6181,9673,9517,7600,5956,0819,6180","1467,0104,2256,5171,6119,3086,3501,1967,4727,7756"
2000-03-26,Da Ma Cai 1+3D,1601/00,2548,6942,1424,"1455,2146,7986,7897,0476,2709,3532,2226,7760,5643","9053,5714,3129,7403,1498,3900,3546,4033,3288,9907"
2000-03-26,Magnum 4D,038/00,4401,1209,9619,"1160,7060,9278,4984,9584,6518,6918,8482,1802,0194","3112,7253,0437,8644,0454,9793,1612,8563,1076,5176"
2000-03-26,Sports Toto 4D,1655/00,5112,3374,0125,"3704,7378,3828,6614,1864,7864,3959,4012,9410,7000","8715,5771,1122,5189,4100,9718,9761,8741,8943,5670"
2000-03-29,Da Ma Cai 1+3D,1602/00,1258,8220,6453,"5700,0436,6018,5772,9053,2385,2485,9453,8151,5961","1286,2226,7399,9304,3208,2455,5983,8642,9787,1420"
2000-03-29,Magnum 4D,039/00,7112,0609,2519,"2095,0874,2030,3093,1722,8628,7321,3052,9949,0812","3941,0934,3072,7207,2624,2332,9940,0523,7101,2457"
2000-03-29,Sports Toto 4D,1656/00,2140,7596,8264,"0835,2266,1115,3764,0464,8425,2346,7384,5326,6037","9370,2200,8978,2957,8190,0964,0977,5614,6620,6662"
2000-04-01,Da Ma Cai 1+3D,1603/00,1261,1946,0099,"2672,0425,2420,3878,1199,6591,3184,5017,4016,2171","2218,7781,2851,4511,9320,1642,0024,7808,3468,0975"
2000-04-01,Magnum 4D,040/00,7441,2587,9099,"1216,9020,6759,0231,8118,6165,4432,1366,7256,6211","9202,0340,8748,3917,8026,6301,0990,7850,4667,4754"
2000-04-01,Sports Toto 4D,1657/00,7884,3019,2692,"9252,5822,6284,4895,3236,5520,9365,8947,2133,0300","3991,4308,7084,6413,4892,3025,5258,0761,7306,4823"
2000-04-02,Da Ma Cai 1+3D,1604/00,1471,2273,1652,"9621,8600,8294,0803,0519,4456,0756,9325,8140,0726","9868,7572,3789,6373,1401,0751,1280,8470,3160,8566"
2000-04-02,Magnum 4D,041/00,4778,3964,7281,"2095,1130,8314,0814,1209,5289,8434,0113,9224,6343","6367,9053,5742,3441,2625,4071,4389,7065,4908,4135"
2000-04-02,Sports Toto 4D,1658/00,7265,8099,7803,"0392,1781,2572,6578,7381,3809,9835,9693,6746,5751","2053,7076,1977,2381,1837,3967,7904,2035,5446,2892"
2000-04-04,Magnum 4D,903/00,9308,1815,3846,"0155,0945,2679,7746,2196,4294,5053,2290,2718,1525","9107,1067,4409,8696,6814,5121,5400,3102,8195,6140"
2000-04-05,Da Ma Cai 1+3D,1605/00,6641,1071,9420,"4006,4891,3458,2908,8997,0042,5368,9861,4794,5461","2599,1964,8670,1574,2257,7346,3565,4461,8736,4513"
2000-04-05,Magnum 4D,042/00,6542,6054,0776,"5749,2481,9891,4786,0523,3429,7734,6902,5358,0540","5079,0712,7780,5468,4979,6192,6262,8923,8233,9548"
2000-04-05,Sports Toto 4D,1659/00,2764,2991,1296,"0739,4210,1912,7814,1715,8978,5997,6515,8649,9816","0222,4876,0828,6547,5470,8218,9140,5278,1062,6198"
2000-04-08,Da Ma Cai 1+3D,1606/00,1798,9194,3031,"2895,7798,3010,0559,6905,9752,2213,2121,5701,2756","6497,6556,0631,2147,8347,5608,3579,1541,6070,2427"
2000-04-08,Magnum 4D,043/00,1088,9367,0876,"7255,4359,2913,7718,6942,0575,1165,4470,1208,2670","6025,0782,3469,3126,8546,6557,3439,2327,9389,9121"
2000-04-08,Sports Toto 4D,1660/00,8967,1529,2079,"3467,3327,5107,0618,2920,8600,1487,6162,4750,6392","4148,9587,5246,4210,4238,6572,9489,0522,5141,9879"
2000-04-09,Da Ma Cai 1+3D,1607/00,7337,0593,2180,"0414,9547,6220,0932,7314,7075,3861,1723,6028,1171","7834,6669,8602,3434,9894,4116,3136,2847,8337,2410"
2000-04-09,Magnum 4D,044/00,9334,8745,8030,"4454,0257,5811,2138,8547,5490,9701,4595,4145,0388","8378,0722,8290,9038,0528,5643,0857,7938,4694,6363"
2000-04-09,Sports Toto 4D,1661/00,9751,9616,0148,"6796,8661,3624,7293,7403,5659,8126,3354,4821,0800","6712,3130,3306,7503,9066,9911,3354,3391,3412,1773"
2000-04-12,Da Ma Cai 1+3D,1608/00,9474,3808,7804,"7839,6928,3294,6699,9540,0306,2427,3660,8568,5165","3399,5412,2695,8193,0531,9265,8158,2187,9598,8940"
2000-04-12,Magnum 4D,045/00,9185,7358,0092,"0658,7461,4170,8096,5613,8943,9924,5031,8122,0581","0500,7901,0229,7826,4036,9037,8284,6889,6790,1954"
2000-04-12,Sports Toto 4D,1662/00,2084,0680,8728,"1278,4745,3323,6835,6367,3540,6598,7348,7183,2563","1272,9311,5331,6767,0916,3952,3903,5889,9684,4621"
2000-04-15,Da Ma Cai 1+3D,1609/00,1293,1978,5648,"2008,4158,8550,1402,9265,3886,6050,7324,7536,3236","5478,7342,6315,4043,1882,2743,8903,2128,6976,6778"
2000-04-15,Magnum 4D,046/00,9832,8047,4687,"5389,1667,7768,0795,5966,2002,3787,6490,8077,8233","8826,4138,0771,8017,8713,2903,1779,4075,2008,1029"
2000-04-15,Sports Toto 4D,1663/00,3127,8469,4413,"7003,9456,1393,1704,9251,7852,8525,7303,5470,1532","1601,3718,9529,8144,4792,0060,4639,3322,3250,4569"
2000-04-16,Da Ma Cai 1+3D,1610/00,6690,0934,7288,"6081,1825,3163,7358,5207,1335,8539,4376,5379,1912","7503,2914,8062,9973,1718,1878,7562,4798,5984,7253"
2000-04-16,Magnum 4D,047/00,6497,0640,1027,"9557,0318,0481,2122,4204,4110,8065,7851,0115,3773","1751,5011,8452,8447,0585,8970,5583,1795,3271,0073"
2000-04-16,Sports Toto 4D,1664/00,7567,2604,7930,"8575,0101,5321,2668,4589,4043,0390,4429,4409,9972","9502,9624,8936,9211,2268,0142,1817,7900,4183,6331"
2000-04-19,Da Ma Cai 1+3D,1611/00,3008,3975,5782,"4593,8543,2088,4545,1735,0826,7797,8067,5519,2759","5006,7151,2116,0105,4663,9214,2963,7394,9359,9513"
2000-04-19,Magnum 4D,048/00,2724,8032,8223,"6435,9339,7797,2593,3388,2385,1469,1766,5734,9125","4431,2491,4232,3624,7059,9678,8379,6485,8678,8481"
2000-04-19,Sports Toto 4D,1665/00,4537,1865,4118,"9597,3803,2682,5872,0457,8410,3044,1263,8383,2643","7822,0973,3215,0533,6909,8835,3351,4633,2255,9951"
2000-04-22,Da Ma Cai 1+3D,1612/00,9547,4369,5959,"6549,8362,8825,4233,7600,4454,9929,9325,2628,8887","8931,9197,4249,2407,9415,9367,8684,3129,5499,9909"
2000-04-22,Magnum 4D,049/00,5082,5207,9533,"1296,0030,0650,1263,1245,0749,3095,4727,2696,5746","5939,7717,1010,5743,6883,2184,9174,5723,6817,4130"
2000-04-22,Sports Toto 4D,1666/00,3723,7133,4804,"8025,7580,1364,9241,9817,6543,6704,6720,8793,6318","3408,8938,9769,0470,8747,2527,5884,7468,1783,1135"
2000-04-23,Da Ma Cai 1+3D,1613/00,3301,1281,4159,"2856,2593,1341,4217,9820,7001,6691,3443,7797,0588","1418,6442,0336,2736,8674,9090,2479,8332,6775,7578"
2000-04-23,Magnum 4D,050/00,7046,4519,4218,"4935,0554,9472,3242,7977,1421,6859,1098,9818,2845","6726,3869,0993,2109,3322,0934,3073,5126,4433,4597"
2000-04-23,Sports Toto 4D,1667/00,7095,6810,4835,"2321,7491,1999,7716,2578,7578,9595,5735,1612,1356","3496,0494,6054,1195,8403,7851,8238,6907,7787,2689"
2000-04-26,Da Ma Cai 1+3D,1614/00,0237,9535,0835,"5404,1970,9303,9408,8011,6298,7986,0716,6573,9565","9998,6977,6247,4381,3135,1792,2763,2845,8496,0681"
2000-04-26,Magnum 4D,051/00,0423,0936,9154,"7668,7226,4087,5278,0019,2496,2716,7684,0233,8476","5609,5970,5073,4469,9176,6830,1144,8678,0382,1484"
2000-04-26,Sports Toto 4D,1668/00,0509,5957,8704,"6848,6093,4239,9655,4311,9650,0496,5578,4621,7944","2485,6142,0278,3883,0380,5137,4053,1156,4312,7833"
2000-04-29,Da Ma Cai 1+3D,1615/00,0656,5449,0884,"9400,9705,4545,7254,2951,1915,1025,5968,3170,4684","9519,8144,1807,5738,2988,5048,6331,3318,1534,5625"
2000-04-29,Magnum 4D,052/00,3084,3606,8451,"1963,2603,8280,5863,5734,8088,0532,2390,5155,5485","3922,1850,6204,8704,6509,0124,9411,0282,1867,7048"
2000-04-29,Sports Toto 4D,1669/00,6958,5483,7407,"0196,7443,0640,4715,9320,1198,9539,4145,9045,2104","5341,4638,3335,9070,1053,7078,2924,8063,2521,0306"
2000-04-30,Da Ma Cai 1+3D,1616/00,2468,7071,9527,"4423,8374,6625,4313,6313,2994,3770,8756,4701,3336","8470,8635,7922,5425,8668,1583,6568,5312,6589,5082"
2000-04-30,Magnum 4D,053/00,6199,9483,5761,"3795,1643,2235,7320,4007,3002,2192,1594,6942,0633","5637,2894,5287,3771,2236,9816,7273,7216,3049,9520"
2000-04-30,Sports Toto 4D,1670/00,4871,1143,5619,"9101,8474,5820,4018,7132,4747,0143,4040,4635,5316","6324,7141,6712,6899,0299,3536,7951,5198,2945,8389"
2000-05-02,Sports Toto 4D,1671/00,0066,3938,7234,"1129,5461,4734,3742,9106,8484,1638,4766,7944,6541","9677,6173,9050,5313,5839,4647,4144,1187,3176,7022"
2000-05-03,Da Ma Cai 1+3D,1617/00,7604,8712,3645,"7595,3827,2346,2036,0683,4223,1378,0950,5928,0980","2471,3686,5994,0167,4595,4916,0456,3040,2263,5800"
2000-05-03,Magnum 4D,054/00,1194,9395,6376,"9374,3019,8636,6445,6411,0864,6297,6359,8844,6071","0169,0489,8125,5145,7965,7129,8866,1382,3929,7248"
2000-05-03,Sports Toto 4D,1672/00,9382,4050,5499,"6795,2488,3058,5657,4046,4230,6117,8049,7107,7678","0973,3847,4435,1784,0832,8119,1197,6356,2811,2836"
2000-05-06,Da Ma Cai 1+3D,1618/00,0965,2789,8626,"4491,2419,7891,7650,3850,5625,5918,8571,4443,9877","3935,8708,5515,3382,6108,8446,8534,5074,3577,1527"
2000-05-06,Magnum 4D,055/00,4146,7322,2075,"7588,8298,5409,1607,4450,2758,7165,3870,9759,4816","3953,8727,6882,7856,0819,7785,0105,9118,5411,6379"
2000-05-06,Sports Toto 4D,1673/00,7579,8345,2682,"3208,3604,5744,2810,0004,8129,3099,6997,6103,7852","5955,8922,0761,0326,7624,7824,0946,0664,4315,8069"
2000-05-07,Da Ma Cai 1+3D,1619/00,8018,8873,1002,"3715,4526,4153,8260,3746,7361,0435,3091,2168,4338","6174,5976,2919,8780,7196,1538,7870,0783,6115,0349"
2000-05-07,Magnum 4D,056/00,9727,7619,1049,"3386,5357,6513,3888,7317,5298,3788,4653,0021,5640","8063,7541,9087,1928,1562,1982,5663,8841,1747,3661"
2000-05-07,Sports Toto 4D,1674/00,6264,5570,7028,"5903,9037,4084,4521,7950,9733,9326,7049,5097,2502","1712,4285,8331,9320,5691,4215,4471,0497,6094,9669"
2000-05-10,Da Ma Cai 1+3D,1620/00,4307,5424,1440,"7170,2830,2676,6436,2353,9270,4193,0442,4465,3507","2012,7356,7842,1803,9198,3077,0523,9655,3417,0731"
2000-05-10,Magnum 4D,057/00,0661,9310,0400,"4204,3809,1209,6924,7970,4312,9656,5697,5617,2859","6584,7203,2594,3941,0101,6007,9171,8263,0407,0568"
2000-05-10,Sports Toto 4D,1675/00,3312,1552,2295,"0658,1537,1773,8504,5048,7761,7873,6714,6295,7514","9019,6510,8090,4725,5309,3921,0306,1054,9624,0411"
2000-05-13,Da Ma Cai 1+3D,1621/00,5444,5857,9169,"3337,4068,5737,3385,7322,6672,2449,0607,4009,5580","5908,0421,8911,3837,0248,4006,2942,2313,1666,3007"
2000-05-13,Magnum 4D,058/00,2444,6254,5770,"3117,1203,7664,4371,4900,9570,7912,9138,3099,7457","2099,8824,0609,5897,2224,0468,9286,0858,9626,1076"
2000-05-13,Sports Toto 4D,1676/00,0040,0840,7478,"4938,2195,2970,2721,2119,1172,4929,8794,3351,6832","1022,5445,8478,9617,6060,2866,2197,5493,9172,4287"
2000-05-14,Da Ma Cai 1+3D,1622/00,6183,4500,1452,"5727,5753,1709,2508,5864,3316,1363,8384,9060,8058","1153,5711,5553,4051,9673,2604,2541,6718,7548,1508"
2000-05-14,Magnum 4D,059/00,7646,2562,6392,"3695,3880,1635,3575,6071,4768,5640,6499,4467,4818","2311,7956,7129,9031,6355,7189,7473,7486,3563,7409"
2000-05-14,Sports Toto 4D,1677/00,8653,3721,5827,"4042,6155,1362,9208,0574,5322,7733,6158,0088,4036","9175,6085,2284,9062,4612,3711,3467,3896,8754,3379"
2000-05-17,Da Ma Cai 1+3D,1623/00,5400,3321,8994,"7549,8492,7307,9685,2029,2863,5296,2576,0889,5291","5824,7664,1057,3311,6400,0111,6497,9243,5879,0209"
2000-05-17,Magnum 4D,060/00,1787,3182,0251,"9007,0220,6322,5114,7136,9492,0198,9994,8975,8323","6886,4224,7169,6898,9238,3993,0340,9496,2387,5222"
2000-05-17,Sports Toto 4D,1678/00,3090,9107,1324,"0502,2233,6349,5572,1865,4013,2087,3506,8695,8739","9009,3694,0043,0898,2222,6049,8009,0645,0713,2760"
2000-05-20,Da Ma Cai 1+3D,1624/00,3701,0188,2605,"9781,5479,5996,9511,0427,7813,6790,1923,6109,4998","4519,0159,7758,4674,1907,1788,6645,9516,4785,2545"
2000-05-20,Magnum 4D,061/00,5758,0018,5233,"9538,2364,0131,5554,8090,5786,0269,8053,0641,2809","0284,8733,4025,3628,5588,3982,6502,4182,9228,6474"
2000-05-20,Sports Toto 4D,1679/00,6771,4835,9313,"0655,7360,8508,6867,5811,2646,1602,9385,5133,3838","6351,1734,9087,8825,4115,1030,4796,7478,3654,8292"
2000-05-21,Da Ma Cai 1+3D,1625/00,3184,8320,2729,"1592,2330,5322,0129,3823,9947,7320,1727,9078,0697","3879,8678,2827,2752,3986,6376,0322,6938,2558,4135"
2000-05-21,Magnum 4D,062/00,6066,6530,8056,"4373,1677,1968,8905,5302,2942,1215,4622,0514,0800","0872,5030,2117,6323,0803,8556,9671,6115,9720,2367"
2000-05-21,Sports Toto 4D,1680/00,3015,7336,0897,"1098,1771,0517,3605,4017,2361,4917,3592,4912,1151","8556,3308,3304,3482,7870,8345,0769,8805,0256,0855"
2000-05-24,Da Ma Cai 1+3D,1626/00,5590,9280,2724,"0412,3109,9467,7007,5623,5856,3068,6712,3371,1462","3529,0967,2468,7354,4395,0669,4221,9629,2906,9877"
2000-05-24,Magnum 4D,063/00,6131,7470,8210,"0072,2912,6189,4087,2502,9293,3529,4709,9290,3584","6691,8947,7498,5947,0903,5046,7236,5417,9406,9899"
2000-05-24,Sports Toto 4D,1681/00,3877,3496,8274,"8635,7612,0286,4886,2242,7851,9591,6796,4230,8210","4900,2732,0642,4326,9028,7568,2475,9636,6244,2232"
2000-05-27,Da Ma Cai 1+3D,1627/00,6223,9582,6775,"8630,4470,4761,1080,5094,9513,4632,2475,0279,8033","0658,6239,9798,3525,1118,0094,0611,5426,7286,6339"
2000-05-27,Magnum 4D,064/00,8207,1421,1890,"9571,2016,9180,8443,1301,9323,1902,1489,7805,2135","2169,5565,6002,1264,8581,3036,3592,6808,3605,0451"
2000-05-27,Sports Toto 4D,1682/00,4137,2272,4963,"3656,0720,5236,5592,1415,0604,4898,1858,6624,0998","6155,3517,5409,6931,7010,4738,3862,9286,8002,4492"
2000-05-28,Da Ma Cai 1+3D,1628/00,6001,4855,9226,"5335,9236,5601,3871,5095,9710,5391,2277,8875,6193","7624,9528,2757,8043,7510,0712,3132,4733,2600,4478"
2000-05-28,Magnum 4D,065/00,0939,7059,7545,"7848,3597,3651,4960,6114,6982,1048,6748,6534,7124","9180,9226,2934,6008,4274,3239,1296,1256,1458,4791"
2000-05-28,Sports Toto 4D,1683/00,3618,5607,9522,"1022,3879,3977,7610,6383,9491,2739,2643,1626,3484","5322,2047,9350,4997,8030,8540,8390,6759,2163,5034"
2000-05-31,Da Ma Cai 1+3D,1629/00,7695,7297,9137,"3207,3503,2019,7827,5447,4217,8731,6400,5065,9704","2236,4761,1686,2940,8231,0200,6574,6785,3904,8330"
2000-05-31,Magnum 4D,066/00,4895,8410,7369,"9651,8436,5551,5540,7546,2154,1241,3911,0886,2307","4833,8382,7683,7701,0653,1248,6154,7714,8125,0412"
2000-05-31,Sports Toto 4D,1684/00,6820,8701,2852,"8563,2928,4811,0485,1303,5325,8588,8132,9276,3486","4920,8200,5216,6222,2861,2999,5691,6282,5194,0507"
2000-06-03,Da Ma Cai 1+3D,1630/00,0253,0398,9748,"5316,1028,5606,9431,9970,7757,5932,4662,9042,1558","5287,9610,1753,2459,3176,1054,1693,1113,8053,7650"
2000-06-03,Magnum 4D,067/00,8235,1637,0280,"2654,0326,8125,1647,1555,8236,3397,1026,6383,6903","0672,2446,6438,7476,9287,7444,1979,2322,5887,4885"
2000-06-03,Sports Toto 4D,1685/00,1063,4876,2560,"1357,4634,3885,3121,9291,6184,1184,9671,3676,2756","8635,9635,8123,0226,4872,2590,5976,5571,2062,2366"
2000-06-04,Da Ma Cai 1+3D,1631/00,4878,5366,7249,"7287,6071,9696,9141,8590,1056,9384,3108,6861,7928","1527,0671,2526,0879,5532,3655,9634,2329,1520,5715"
2000-06-04,Magnum 4D,068/00,3221,8811,0807,"4552,9575,3605,5397,8065,0865,1019,7965,9736,9121","6530,4365,6767,4419,1802,9895,0523,7072,1074,0648"
2000-06-04,Sports Toto 4D,1686/00,1487,6896,7350,"5716,2532,4883,9505,6111,5263,3778,7459,1151,5305","3542,9037,0510,6859,0017,9103,2417,3681,5617,1639"
2000-06-06,Da Ma Cai 1+3D,1632/00,7446,2779,4374,"8481,9433,3733,2182,5612,0880,4555,8104,8508,5412","1637,6372,2379,0835,4178,3012,7596,8188,7567,0516"
2000-06-07,Da Ma Cai 1+3D,1633/00,6271,0973,9825,"0178,2904,9927,9519,5755,9880,8734,9540,5930,0981","8697,0835,4825,6348,6454,2512,8963,5948,4135,9268"
2000-06-07,Magnum 4D,069/00,6922,0714,7777,"7514,8014,6860,1486,3328,2113,1047,7506,0539,6936","7703,7842,7520,8110,7241,2796,1632,5903,8872,3478"
2000-06-07,Sports Toto 4D,1687/00,5371,3128,4539,"8109,5457,1939,5266,7225,9629,8404,9110,0202,9565","6060,4900,1459,2858,9966,3686,6729,1992,6766,0304"
2000-06-10,Da Ma Cai 1+3D,1634/00,8881,0748,1729,"8050,7358,0675,9598,1165,7997,6183,6051,3815,8968","5821,1105,0830,6920,9835,7245,8335,0511,1045,9903"
2000-06-10,Magnum 4D,070/00,7472,3316,7098,"5127,6324,0079,9715,0666,0785,4560,8019,2991,7166","2664,8401,8312,3343,4955,6643,4193,9137,5712,5804"
2000-06-10,Sports Toto 4D,1688/00,9652,1668,2085,"8855,4899,9388,9654,5737,5277,8221,4429,3724,0750","2331,9189,3727,9086,2359,0728,1813,9445,1618,0296"
2000-06-11,Da Ma Cai 1+3D,1635/00,9221,3613,9292,"8293,6070,9632,2365,3143,6878,6992,9271,6542,4055","7613,5380,7401,3587,6258,1856,2044,0609,8805,2665"
2000-06-11,Magnum 4D,071/00,3590,2865,9682,"1581,8268,6785,4323,6792,8894,6215,4113,0340,3891","7642,3429,9146,9615,2384,2281,8393,7051,1518,3025"
2000-06-11,Sports Toto 4D,1689/00,9023,1799,7305,"2015,0502,3924,0047,4293,0317,7006,7492,4151,3839","2010,7748,3040,3627,8482,7434,3333,5603,1618,1281"
2000-06-14,Da Ma Cai 1+3D,1636/00,0699,3434,4995,"1767,3857,7681,5790,2202,0074,0422,1127,6626,8670","5874,9453,5962,0223,6437,3315,4395,9918,9417,9959"
2000-06-14,Magnum 4D,072/00,5345,3818,6574,"2539,6666,9147,7708,9113,2007,6240,9189,8008,1626","2030,9477,4794,0787,8594,7019,8952,8282,5723,1868"
2000-06-14,Sports Toto 4D,1690/00,1425,2219,5150,"1308,1235,4014,1283,3346,4240,3017,3502,8217,9105","2271,9278,6773,7411,0349,3044,4645,2033,2177,9088"
2000-06-17,Da Ma Cai 1+3D,1637/00,7480,9986,3211,"5566,3884,3035,5325,1483,8939,7295,8445,3604,9121","3529,3565,8206,2659,8112,3040,5783,7939,0303,2946"
2000-06-17,Magnum 4D,073/00,1907,6680,6243,"3152,0250,3694,2460,1779,8001,8411,5130,4644,8607","0516,3704,6718,9107,7901,1025,0645,2394,6846,2584"
2000-06-17,Sports Toto 4D,1691/00,0389,4092,3770,"4374,3315,2436,9723,5262,3306,0764,4191,3359,0140","5158,9830,3965,8709,2652,2321,9806,4123,4909,9739"
2000-06-18,Da Ma Cai 1+3D,1638/00,3302,2297,2750,"1595,9798,3966,5094,3814,8595,7935,2629,7240,8208","3551,2085,4527,0786,6888,8525,7036,5592,7742,3500"
2000-06-18,Magnum 4D,074/00,0160,0051,7474,"0792,8595,4446,8081,6923,7781,5024,7293,7568,8603","5273,6779,2107,2822,6502,1711,6608,1578,9021,8835"
2000-06-18,Sports Toto 4D,1692/00,4239,6784,7266,"8616,6404,2560,1536,0173,3918,9662,2319,5002,1575","7589,7881,0020,1879,1817,2886,8414,8987,0130,6162"
2000-06-21,Da Ma Cai 1+3D,1639/00,2526,0573,9778,"2397,7812,3991,2021,7048,2395,4004,6164,1263,5411","9469,4283,5854,9291,4879,6368,3440,0147,7333,7388"
2000-06-21,Magnum 4D,075/00,6066,8157,8349,"5951,2895,2452,5192,9205,4155,8950,9250,3693,5334","3097,0285,6870,7807,5546,8447,4464,6614,7194,2771"
2000-06-21,Sports Toto 4D,1693/00,1034,0069,1106,"0870,6124,7205,0790,6059,3640,6291,0485,2408,2473","2605,1388,5189,7415,2537,5965,9795,2282,9576,9783"
2000-06-24,Da Ma Cai 1+3D,1640/00,9214,3071,6369,"1799,9485,0715,3059,7286,9227,7345,3036,4456,7996","7933,0010,6751,3035,8541,9863,7138,9069,8144,9289"
2000-06-24,Magnum 4D,076/00,3162,9490,4659,"3579,5027,6444,1355,8456,2463,1331,6779,8479,9181","0395,8697,5086,4961,5471,9895,2308,3816,4161,0723"
2000-06-24,Sports Toto 4D,1694/00,5835,4978,5831,"6190,1845,0843,1049,3855,7371,4476,1404,4008,0796","9273,9530,8529,3529,1220,2230,6678,6130,0852,3228"
2000-06-25,Da Ma Cai 1+3D,1641/00,6149,8604,5011,"4503,5592,7659,8198,2666,7976,1572,0296,0403,6310","3954,4158,9664,7249,7102,2588,9860,2475,4480,8724"
2000-06-25,Magnum 4D,077/00,4344,8818,5480,"5262,7369,4982,7748,2631,3814,5864,9678,3943,9683","1135,6347,9048,4397,3395,8694,7621,3361,7023,4217"
2000-06-25,Sports Toto 4D,1695/00,7373,9673,7435,"5430,0159,1414,6330,3860,3305,7623,9554,7921,5096","9025,1484,0770,3794,3798,9027,6810,9119,4618,8711"
2000-06-27,Magnum 4D,904/00,3104,3616,3507,"9186,1659,7964,1654,1819,1019,1858,0092,3119,3295","8431,9504,4927,1639,2428,4385,3845,7622,1083,4431"
2000-06-28,Da Ma Cai 1+3D,1642/00,8224,5507,1641,"8149,3796,3408,9350,5152,9555,3452,0037,0272,8206","6644,6585,4728,1429,0730,9876,3219,5376,9812,6196"
2000-06-28,Magnum 4D,078/00,4526,1789,1584,"0211,8374,2798,8425,3296,0510,7957,6902,0415,9703","9410,4226,1411,8355,9638,4216,1921,9278,1829,4079"
2000-06-28,Sports Toto 4D,1696/00,0366,6439,4588,"6293,4372,0753,4455,1372,1186,0060,2115,0779,8557","3454,6895,2642,3032,7288,1195,2036,5282,1649,5682"
2000-07-01,Da Ma Cai 1+3D,1643/00,2964,2145,4867,"5538,5642,9020,2250,6644,9639,4295,8481,1979,9451","2597,8709,5790,9151,8175,6578,0970,7081,5457,9542"
2000-07-01,Magnum 4D,079/00,9441,6614,8000,"3618,0415,8659,0270,9414,7216,6313,4629,7154,0007","8476,4435,1930,1258,5457,8169,0013,8296,7520,2552"
2000-07-01,Sports Toto 4D,1697/00,9046,7110,9073,"3036,1365,3987,3156,0500,2157,3105,9726,9928,7783","1570,8195,1352,5217,4659,3867,0051,0010,9320,7305"
2000-07-02,Da Ma Cai 1+3D,1644/00,6476,4243,4806,"4505,2217,7932,5350,4981,8499,9673,9415,7950,2887","5707,7317,7347,0213,7461,1529,7726,7135,5627,8948"
2000-07-02,Magnum 4D,080/00,0560,1578,3073,"9827,2422,9865,1556,4226,6973,6203,8936,8942,7839","7210,3069,8299,4981,3502,8433,2225,3546,5411,1459"
2000-07-02,Sports Toto 4D,1698/00,7376,7907,8560,"1600,0170,0780,7388,4358,5668,6668,7118,9008,6700","5342,8733,7069,8088,9965,2369,6387,3746,0302,6472"
2000-07-04,Sports Toto 4D,1699/00,9395,2340,7530,"3525,7299,0613,7398,7666,1174,9980,7098,3141,2362","6836,0708,0958,6014,5969,8974,3757,6122,2218,8266"
2000-07-05,Da Ma Cai 1+3D,1645/00,1079,2214,1979,"6613,0126,5095,0853,3741,7341,7845,8989,9993,5405","2564,7590,6692,8072,2278,3200,9265,7468,4050,2431"
2000-07-05,Magnum 4D,081/00,5694,5392,8080,"7507,4260,9283,8378,2810,2036,6418,8525,5938,6188","9839,0455,8754,3835,8390,3801,8110,2743,2612,2007"
2000-07-05,Sports Toto 4D,1700/00,3000,2866,3083,"0584,7990,7994,9508,7451,5290,8218,8497,0271,8573","6858,0712,4077,3551,4498,0031,6011,3324,1622,3207"
2000-07-08,Da Ma Cai 1+3D,1646/00,0517,2983,0690,"4514,3822,9337,5180,7264,2331,3738,0779,9655,2161","7602,9438,1949,9459,8934,2120,5562,1012,5883,7502"
2000-07-08,Magnum 4D,082/00,6381,3475,1763,"1335,9375,5117,1386,0810,5611,2851,5456,9717,9592","4664,5565,5395,8631,8664,8510,4748,3331,8541,0888"
2000-07-08,Sports Toto 4D,1701/00,8213,8831,1652,"7428,9812,4122,2723,0242,9310,9934,4830,9767,6251","5391,0572,7081,5211,7216,4599,3774,3081,2729,4382"
2000-07-09,Da Ma Cai 1+3D,1647/00,1045,4843,8277,"5692,1705,5569,5586,8601,4867,7293,6228,5461,0327","7252,8606,3066,1507,6174,9035,5836,9024,6599,3150"
2000-07-09,Magnum 4D,083/00,4424,5106,5737,"6808,7273,7377,6934,5918,9740,4904,6845,5308,0790","3237,5103,6078,3571,0405,5899,2733,9882,8841,1461"
2000-07-09,Sports Toto 4D,1702/00,7640,6060,3539,"8018,4633,9497,0861,8041,8938,9141,1612,8678,1239","7528,7815,5734,3435,7828,9886,9231,4659,9385,0071"
2000-07-12,Da Ma Cai 1+3D,1648/00,5102,1350,5388,"3952,6544,8814,8025,7256,5012,4221,5783,8832,5366","8986,1375,2867,7352,8093,4241,7029,1345,8786,7534"
2000-07-12,Magnum 4D,084/00,1648,9811,3873,"6579,9997,4562,0590,0448,4265,8890,4530,3014,5157","8652,8403,4841,0835,7411,2648,7650,1705,4160,8928"
2000-07-12,Sports Toto 4D,1703/00,6962,3286,7731,"5312,0644,0959,6561,9272,4247,1177,3367,9937,0248","9928,1332,9214,2874,8900,3578,1866,4556,1366,2561"
2000-07-15,Da Ma Cai 1+3D,1649/00,7654,2190,1385,"5974,6642,5904,1948,7698,5755,7144,5814,4745,6031","1860,7500,9869,0334,7327,1161,2246,3567,0801,1248"
2000-07-15,Magnum 4D,085/00,8947,6781,8147,"5215,0820,0300,6737,2639,0044,6766,2728,5180,4043","2938,3685,5188,8662,6645,5656,4240,2251,0815,5187"
